Collection,Record,Resource Identifier,Resource Title,Author / Originator,Metadata Contact,Contributor Name,Publisher,Publication Date,Resource Contact,Abstract,Keyword,Resource Distribution,Spatial Extent,Taxonomic Extent,Temporal Extent,Maintenance,Resource Use Constraints,Process Step,Project Description,Entity Type Definition,Attribute Definition,Resource Access Constraints,Resource Format,Attribute List,Attribute Constraints,Resource Quality Description
2005.0,2719.2.xml,1.0,1.0,3.0,0.0,5.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,16.0,0.0,0.0,1.0,0.0,0.0
2005.0,2720.2.xml,1.0,1.0,2.0,0.0,6.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,38.0,0.0,0.0,2.0,0.0,0.0
2005.0,2720.3.xml,1.0,1.0,2.0,0.0,6.0,0.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,38.0,0.0,0.0,2.0,0.0,0.0
2005.0,2720.8.xml,1.0,1.0,2.0,0.0,6.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,38.0,1.0,2.0,2.0,4.0,0.0
2005.0,2721.2.xml,1.0,1.0,2.0,0.0,5.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,24.0,0.0,0.0,1.0,0.0,0.0
2005.0,2721.6.xml,1.0,1.0,2.0,0.0,5.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24.0,1.0,1.0,1.0,2.0,0.0
2005.0,2722.2.xml,1.0,1.0,2.0,0.0,4.0,0.0,1.0,1.0,1.0,8.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0
2005.0,2722.5.xml,1.0,1.0,3.0,0.0,4.0,1.0,1.0,2.0,1.0,6.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,13.0,1.0,1.0,1.0,0.0,0.0
2005.0,2722.6.xml,1.0,1.0,2.0,0.0,4.0,1.0,1.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,2.0,0.0
2005.0,2723.5.xml,1.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0
2005.0,2724.2.xml,1.0,1.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,9.0,0.0,0.0,1.0,0.0,0.0
